total_reward_mean,total_reward_std,entropies_mean,entropies_std,entropies_median,advantages_mean,advantages_std,advantages_median,perplexities_mean,perplexities_std,perplexities_median,action_mean_median,action_std_median,loss,memory_allocated_mb,memory_reserved_mb,memory_peak_mb
-179.08020767724125,100.78571078165591,1.3861652612686157,6.58846547594294e-05,1.3861846923828125,-95.4089126586914,53.75885772705078,-85.01163482666016,3.999483108520508,0.0002634649572428316,3.999561309814453,,,42.444543552398684,151.77734375,726.0,651.6923828125
-132.22957212466298,80.4189007486831,1.3656082153320312,0.024788444861769676,1.3700788021087646,-39.639827728271484,48.616573333740234,-32.60963439941406,3.9192306995391846,0.08806726336479187,3.9356608390808105,,,19.066752910614014,151.77734375,764.0,651.6923828125
-141.9540630464546,82.39665665400574,1.3436328172683716,0.035534173250198364,1.3537466526031494,-4.853929042816162,48.7376594543457,-2.4264755249023438,3.8353188037872314,0.13264280557632446,3.8719050884246826,,,16.979705810546875,151.77734375,764.0,651.6923828125
-89.27837630529449,71.65554577734684,1.3493385314941406,0.03251814842224121,1.357780933380127,25.041400909423828,44.25032424926758,23.158660888671875,3.856872320175171,0.1217564046382904,3.887556791305542,,,15.157177782058715,151.77734375,764.0,651.6923828125
-92.10123046032508,59.434784559765035,1.3015539646148682,0.07518170773983002,1.3230851888656616,-9.235492706298828,41.120479583740234,-5.070621490478516,3.684779405593872,0.25372424721717834,3.754988193511963,,,14.647961807250976,151.77734375,764.0,651.6923828125
-77.11368568934,48.373088929802776,1.2771438360214233,0.06648515909910202,1.2949177026748657,1.4164224863052368,31.377344131469727,3.104736328125,3.5939526557922363,0.22335177659988403,3.650695562362671,,,11.329870796203613,151.77734375,764.0,651.6923828125
-42.31604191335776,52.6266227204489,1.2413321733474731,0.07718905806541443,1.2572523355484009,17.97972297668457,33.83063507080078,20.412588119506836,3.47031307220459,0.25928419828414917,3.5157482624053955,,,12.712047433853149,151.77734375,764.0,651.6923828125
-49.5608005389528,52.20448129652525,1.1794214248657227,0.0873417779803276,1.187577724456787,-12.09048843383789,35.15084457397461,-8.069068908691406,3.264802932739258,0.28143393993377686,3.2791285514831543,,,12.762353372573852,151.77734375,764.0,651.6923828125
-35.875990935931156,51.345243714768486,1.1965792179107666,0.08643887937068939,1.2036464214324951,3.1264240741729736,32.65531921386719,2.9942493438720703,3.3210463523864746,0.28339430689811707,3.3322455883026123,,,10.974449682235718,151.77734375,764.0,651.6923828125
-11.826941212987128,53.15372972822997,1.1818737983703613,0.11639823764562607,1.1917734146118164,7.8480143547058105,35.331180572509766,8.215818405151367,3.2820045948028564,0.36708348989486694,3.2929158210754395,,,11.94777226448059,151.77734375,764.0,651.6923828125
6.689447271049753,42.926194424342626,1.1755527257919312,0.1428220272064209,1.1873772144317627,4.967344760894775,30.04747200012207,8.801799774169922,3.2722344398498535,0.449694961309433,3.2784712314605713,,,10.62119164466858,151.77734375,764.0,651.6923828125
-3.815330524883462,81.67476170564721,1.1740515232086182,0.14886005222797394,1.2032794952392578,4.685088157653809,35.85682678222656,9.41348648071289,3.26981258392334,0.4617048501968384,3.3310229778289795,,,10.696392059326172,151.77734375,764.0,651.6923828125
-1.795228119736482,69.349734788613,1.162555456161499,0.15319256484508514,1.1795084476470947,-0.8606125116348267,31.998680114746094,-0.6757912635803223,3.2340505123138428,0.4621712267398834,3.252774715423584,,,8.671406888961792,151.77734375,764.0,651.6923828125
